Signal,Mean_X,Variance_X,Slope_X,Mean_Y,Variance_Y,Slope_Y
6,0.00021,1.9999999999999998e-10,2e-05,0.083485131030718,3.3692940659129795e-22,2.595879067257556e-11
20,0.00077,1.9999999999999887e-10,1.9999999999999944e-05,0.0834851310307198,1.182613582664596e-22,1.5379295059680942e-11
24,0.00093,1.9999999999999887e-10,1.9999999999999944e-05,0.0834851310307015,9.912614585045834e-23,1.4080209220779238e-11
29,0.00113,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307356,6.941486285506887e-23,1.1782602671317475e-11
19,0.00073,1.9999999999999887e-10,1.9999999999999944e-05,0.0834851310307265,1.2802720088611845e-22,1.6001699965073612e-11
8,0.00029,1.9999999999999998e-10,2e-05,0.0834851310307456,2.910488418218901e-22,2.4126700637339127e-11
33,0.00129,1.9999999999999667e-10,1.999999999999984e-05,0.0834851310307337,4.864430533952026e-23,9.863498906526049e-12
37,0.00145,1.9999999999999667e-10,1.999999999999984e-05,0.0834851310307163,3.566834421525357e-23,8.446104926562725e-12
22,0.00085,1.9999999999999887e-10,1.9999999999999944e-05,0.0834851310306949,1.125118844391053e-22,1.500079227501061e-11
18,0.00069,1.9999999999999887e-10,1.9999999999999944e-05,0.08348513103071,1.4101590052915669e-22,1.6793802459780238e-11
39,0.00153,1.9999999999999667e-10,1.999999999999984e-05,0.08348513103071,2.9919783262322494e-23,7.735603824166049e-12
7,0.00025,1.9999999999999936e-10,1.999999999999997e-05,0.0834851310306343,3.117777836727556e-22,2.4971094636505597e-11
4,0.00013,1.9999999999999967e-10,1.9999999999999985e-05,0.0834851310306607,4.03007438476558e-22,2.839040114110957e-11
25,0.0009699999999999,1.9999999999999887e-10,1.9999999999999944e-05,0.0834851310307714,9.50737786244948e-23,1.3789400177266486e-11
38,0.00149,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307275,3.42602567300432e-23,8.277711849302705e-12
28,0.00109,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307855,7.535860226824807e-23,1.2276693550639095e-11
54,0.00213,2.0000000000000104e-10,2.000000000000005e-05,0.083485131030747,9.993152039392773e-24,4.470604442197157e-12
10,0.00037,1.9999999999999998e-10,2e-05,0.0834851310306988,2.6167171365918284e-22,2.2876700533913663e-11
23,0.00089,1.9999999999999887e-10,1.9999999999999944e-05,0.0834851310307704,1.101750673104668e-22,1.4844195317387232e-11
53,0.00209,2.0000000000000104e-10,2.000000000000005e-05,0.0834851310307501,1.1419470778242733e-23,4.7790105206502176e-12
17,0.00065,1.9999999999999887e-10,1.9999999999999944e-05,0.0834851310307698,1.4836392467328591e-22,1.7225790238661887e-11
