Signal,Mean,Variance,Slope,Class,Non-Anomaly
1,1.372,0,0.112475,0,0
2,1.365,0,0.0920257,0,0
3,1.358,0,4.62309,0,0
4,1.35,0,0.401692,0,0
5,1.343,0,0.510531,0,0
6,1.335,0,0.0989245,0,0
7,1.327,0,1.16591,0,0
8,1.32,0,0.05949555,0,0
9,1.312,0,0.1072041,0,0
10,1.304,0,0.01411094,0,0
11,1.296,0,0.0563171,0,0
12,1.288,0,0.1358669,0,0
13,1.28,0,1.26E+00,0,0
14,1.271,0,0.000161156,0,0
15,1.263,0,0.001768216,0,0
16,1.368,0,0.119784,0,0
17,1.362,0,0.0578093,0,0
18,1.355,0,3.52926,0,0
19,1.347,0,1.09855,0,0
20,1.34,0,0.327163,0,0
21,1.332,0,3.81925,0,0
22,1.324,0,0.655017,0,0
23,1.317,0,0.1560053,0,0
24,1.309,0,0.02060362,0,0
25,1.301,0,0.02889853,0,0
26,1.293,0,0.02389244,0,0
27,1.285,0,0.5438685,0,0
28,1.276,0,1.456918,0,0
29,1.268,0,0.000789841,0,0
30,1.26,0,0.006030816,0,0
31,0.3213,0,0.42265,1,Open
32,0.3211,0,0.42884,1,Open
33,0.3209,0,0.43512,1,Open
34,0.3208,0,0.44152,1,Open
35,0.3206,0,0.44801,1,Open
36,0.3204,0,0.45457,1,Open
37,0.3203,0,0.46125,1,Open
38,0.3201,0,0.46801,1,Open
39,0.3199,0,0.47481,1,Open
40,0.3198,0,0.48177,1,Open
41,0.3196,0,0.48886,1,Open
42,0.3194,0,0.49602,1,Open
43,0.3192,0,0.50329,1,Open
44,0.3191,0,0.51068,1,Open
45,0.3189,0,0.51816,1,Open
46,0.3212,0,4.25E-01,1,Open
47,0.321,0,4.31E-01,1,Open
48,0.3209,0,4.38E-01,1,Open
49,0.3207,0,0.44409,1,Open
50,0.3205,0,0.45061,1,Open
51,0.3204,0,0.45721,1,Open
52,0.3202,0,0.46391,1,Open
53,0.32,0,0.47069,1,Open
54,0.3199,0,0.47757,1,Open
55,0.3197,0,0.4846,1,Open
56,0.3195,0,0.49169,1,Open
57,0.3194,0,0.49891,1,Open
58,0.3192,0,0.50623,1,Open
59,0.319,0,0.51365,1,Open
60,0.3188,0,0.52119,1,Open
