Signal,Mean,Variance,Slope,Class,Non-Anomaly
1,1.372,0,6.46E-04,0,0
2,1.365,0,7.08E-04,0,0
3,1.358,0,7.69E-04,0,0
4,1.35,0,8.31E-04,0,0
5,1.343,0,8.92E-04,0,0
6,1.335,0,9.53E-04,0,0
7,1.328,0,1.01E-03,0,0
8,1.32,0,1.07E-03,0,0
9,1.312,0,1.13E-03,0,0
10,1.304,0,1.18E-03,0,0
11,1.296,0,1.24E-03,0,0
12,1.288,0,1.29E-03,0,0
13,1.28,0,1.34E-03,0,0
14,1.271,0,1.39E-03,0,0
15,1.263,0,1.44E-03,0,0
16,1.369,0,6.71E-04,0,0
17,1.362,0,7.32E-03,0,0
18,1.355,0,7.94E-04,0,0
19,1.347,0,8.55E-04,0,0
20,1.34,0,9.16E-04,0,0
21,1.333,0,9.76E-04,0,0
22,1.324,0,1.04E-03,0,0
23,1.317,0,1.09E-03,0,0
24,1.309,0,1.15E-03,0,0
25,1.301,0,1.20E-03,0,0
26,1.293,0,1.26E-03,0,0
27,1.285,0,1.31E-03,0,0
28,1.276,0,1.36E-03,0,0
29,1.268,0,1.41E-03,0,0
30,1.26,0,1.45E-03,0,0
31,1.189,0,1.96E-04,1,3 sat
32,1.183,0,2.27E-04,1,3 sat
33,1.177,0,2.58E-04,1,3 sat
34,1.171,0,2.89E-04,1,3 sat
35,1.165,0,3.20E-04,1,3 sat
36,1.159,0,3.51E-04,1,3 sat
37,1.153,0,3.82E-04,1,3 sat
38,1.147,0,4.13E-04,1,3 sat
39,1.14,0,4.43E-04,1,3 sat
40,1.134,0,4.73E-04,1,3 sat
41,1.128,0,5.03E-04,1,3 sat
42,1.122,0,5.32E-04,1,3 sat
43,1.116,0,5.60E-04,1,3 sat
44,1.11,0,5.88E-04,1,3 sat
45,1.104,0,6.15E-04,1,3 sat
46,0.7886,0,1.10E-03,1,5 sat
47,0.7872,0,1.10E-03,1,5 sat
48,0.7857,0,1.10E-03,1,5 sat
49,0.7843,0,1.10E-03,1,5 sat
50,0.7829,0,1.10E-03,1,5 sat
51,0.7815,0,1.10E-03,1,5 sat
52,0.78,0,1.10E-03,1,5 sat
53,0.7786,0,1.10E-03,1,5 sat
54,0.7772,0,1.10E-03,1,5 sat
55,0.7758,0,1.10E-03,1,5 sat
56,0.7744,0,1.10E-03,1,5 sat
57,0.773,0,1.10E-03,1,5 sat
58,0.7715,0,1.10E-03,1,5 sat
59,0.7701,0,1.10E-03,1,5 sat
60,0.7687,0,1.10E-03,1,5 sat
