Signal,Mean,Variance,Slope,Class,Non-Anomaly
1,1.358,0,6.46E-04,0,0
2,1.349,0,7.08E-04,0,0
3,1.34,0,7.69E-04,0,0
4,1.331,0,8.31E-04,0,0
5,1.322,0,8.92E-04,0,0
6,1.353,0,6.46E-04,0,0
7,1.343,0,7.08E-04,0,0
8,1.334,0,7.69E-04,0,0
9,1.324,0,8.31E-04,0,0
10,1.315,0,8.92E-04,0,0
11,1.373,0,6.46E-04,0,0
12,1.365,0,7.08E-04,0,0
13,1.358,0,7.69E-04,0,0
14,1.351,0,8.31E-04,0,0
15,1.344,0,8.92E-04,0,0
16,1.373,0,6.46E-04,0,0
17,1.366,0,7.08E-04,0,0
18,1.359,0,7.69E-04,0,0
19,1.352,0,8.31E-04,0,0
20,1.345,0,8.92E-04,0,0
21,1.355,0,6.71E-04,0,0
22,1.346,0,7.32E-04,0,0
23,1.336,0,7.94E-04,0,0
24,1.327,0,8.55E-04,0,0
25,1.318,0,9.16E-04,0,0
26,1.349,0,6.71E-04,0,0
27,1.339,0,7.32E-04,0,0
28,1.33,0,7.94E-04,0,0
29,1.321,0,8.55E-04,0,0
30,1.311,0,9.16E-04,0,0
