Signal,Mean,Variance,Slope,Class,Non-Anomaly
1,1.372,0,0.112475,0,0
2,1.365,0,0.0920257,0,0
3,1.358,0,4.62309,0,0
4,1.35,0,0.401692,0,0
5,1.343,0,0.510531,0,0
6,1.335,0,0.0989245,0,0
7,1.327,0,1.16591,0,0
8,1.32,0,0.05949555,0,0
9,1.312,0,0.1072041,0,0
10,1.304,0,0.01411094,0,0
11,1.296,0,0.0563171,0,0
12,1.288,0,0.1358669,0,0
13,1.28,0,1.26E+00,0,0
14,1.271,0,0.000161156,0,0
15,1.263,0,0.001768216,0,0
16,1.368,0,0.119784,0,0
17,1.362,0,0.0578093,0,0
18,1.355,0,3.52926,0,0
19,1.347,0,1.09855,0,0
20,1.34,0,0.327163,0,0
21,1.332,0,3.81925,0,0
22,1.324,0,0.655017,0,0
23,1.317,0,0.1560053,0,0
24,1.309,0,0.02060362,0,0
25,1.301,0,0.02889853,0,0
26,1.293,0,0.02389244,0,0
27,1.285,0,0.5438685,0,0
28,1.276,0,1.456918,0,0
29,1.268,0,0.000789841,0,0
30,1.26,0,0.006030816,0,0
31,1.6,0,0,1,Short
32,1.595,0,0,1,Short
33,1.59,0,0,1,Short
34,1.585,0,0,1,Short
35,1.58,0,0,1,Short
36,1.575,0,0,1,Short
37,1.57,0,0,1,Short
38,1.565,0,0,1,Short
39,1.56,0,0,1,Short
40,1.555,0,0,1,Short
41,1.55,0,0,1,Short
42,1.545,0,0,1,Short
43,1.54,0,0,1,Short
44,1.535,0,0,1,Short
45,1.53,0,0,1,Short
46,1.598,0,0,1,Short
47,1.593,0,0,1,Short
48,1.588,0,0,1,Short
49,1.583,0,0,1,Short
50,1.578,0,0,1,Short
51,1.573,0,0,1,Short
52,1.568,0,0,1,Short
53,1.563,0,0,1,Short
54,1.558,0,0,1,Short
55,1.553,0,0,1,Short
56,1.548,0,0,1,Short
57,1.543,0,0,1,Short
58,1.538,0,0,1,Short
59,1.533,0,0,1,Short
60,1.528,0,0,1,Short
