Signal,Mean,Variance,Slope,Class,Non-Anomaly
13,1.28,0,1.62407,0,0.0
14,1.271,0,1.62407,0,0.0
28,1.276,0,1.62407,0,0.0
27,1.285,0,1.62407,0,0.0
12,1.288,0,1.62407,0,0.0
26,1.293,0,1.62407,0,0.0
25,1.301,0,1.62407,0,0.0
15,1.263,0,1.62407,0,0.0
24,1.309,0,1.62407,0,0.0
29,1.268,0,1.62407,0,0.0
32,1.183,0,1.19522,1,0.0
31,1.189,0,1.19522,1,0.0
30,1.26,0,1.62407,0,0.0
23,1.317,0,1.62407,0,0.0
46,0.7886,0,0.283,1,0.0
17,1.362,0,1.62407,0,0.0
18,1.355,0,1.62407,0,0.0
16,1.368,0,1.62407,0,0.0
33,1.177,0,1.19522,1,0.0
11,1.296,0,1.62407,0,0.0
19,1.347,0,1.62407,0,0.0
21,1.332,0,1.62407,0,0.0
22,1.324,0,1.62407,0,0.0
44,1.11,0,1.19522,1,0.0
9,1.312,0,1.62407,0,0.0
45,1.104,0,1.19522,1,0.0
10,1.304,0,1.62407,0,0.0
42,1.122,0,1.19522,1,0.0
41,1.128,0,1.19522,1,0.0
20,1.34,0,1.62407,0,0.0
36,1.159,0,1.19522,1,0.0
34,1.171,0,1.19522,1,0.0
43,1.116,0,1.19522,1,0.0
35,1.165,0,1.19522,1,0.0
8,1.32,0,1.62407,0,0.0
37,1.153,0,1.19522,1,0.0
38,1.147,0,1.19522,1,0.0
2,1.365,0,1.62407,0,0.0
3,1.358,0,1.62407,0,0.0
7,1.327,0,1.62407,0,0.0
6,1.335,0,1.62407,0,0.0
5,1.343,0,1.62407,0,0.0
4,1.35,0,1.62407,0,0.0
40,1.134,0,1.19522,1,0.0
39,1.14,0,1.19522,1,0.0
53,0.7786,0,0.283,1,0.0
58,0.7715,0,0.283,1,0.0
57,0.773,0,0.283,1,0.0
56,0.7744,0,0.283,1,0.0
55,0.7758,0,0.283,1,0.0
54,0.7772,0,0.283,1,0.0
50,0.782,0,0.283,1,0.0
52,0.78,0,0.283,1,0.0
51,0.7815,0,0.283,1,0.0
49,0.7843,0,0.283,1,0.0
48,0.7857,0,0.283,1,0.0
47,0.7872,0,0.283,1,0.0
59,0.7701,0,0.283,1,0.0
