Signal,Mean,Variance,Slope,Class,Non-Anomaly
13,1.28,0,0.00134,0,0.0
12,1.288,0,0.00129,0,0.0
45,1.104,0,0.000615,1,0.0
11,1.296,0,0.00124,0,0.0
46,0.7886,0,0.0011,1,0.0
14,1.271,0,0.00139,0,0.0
43,1.116,0,0.00056,1,0.0
42,1.122,0,0.000532,1,0.0
41,1.128,0,0.000503,1,0.0
27,1.285,0,0.00131,0,0.0
28,1.276,0,0.00136,0,0.0
26,1.293,0,0.00126,0,0.0
47,0.7872,0,0.0011,1,0.0
44,1.11,0,0.000588,1,0.0
40,1.134,0,0.000473,1,0.0
39,1.14,0,0.000443,1,0.0
8,1.32,0,0.00107,0,0.0
15,1.263,0,0.00144,0,0.0
25,1.301,0,0.0012,0,0.0
6,1.335,0,0.000953,0,0.0
5,1.343,0,0.000892,0,0.0
29,1.268,0,0.00141,0,0.0
10,1.304,0,0.00118,0,0.0
9,1.312,0,0.00113,0,0.0
4,1.35,0,0.000831,0,0.0
51,0.7815,0,0.0011,1,0.0
48,0.7857,0,0.0011,1,0.0
59,0.7701,0,0.0011,1,0.0
49,0.7843,0,0.0011,1,0.0
53,0.7786,0,0.0011,1,0.0
58,0.7715,0,0.0011,1,0.0
57,0.773,0,0.0011,1,0.0
56,0.7744,0,0.0011,1,0.0
55,0.7758,0,0.0011,1,0.0
50,0.7829,0,0.0011,1,0.0
52,0.78,0,0.0011,1,0.0
54,0.7772,0,0.0011,1,0.0
38,1.147,0,0.000413,1,0.0
30,1.26,0,0.00145,0,0.0
7,1.328,0,0.00101,0,0.0
33,1.177,0,0.000258,1,0.0
34,1.171,0,0.000289,1,0.0
37,1.153,0,0.000382,1,0.0
36,1.159,0,0.000351,1,0.0
35,1.165,0,0.00032,1,0.0
23,1.317,0,0.00109,0,0.0
2,1.365,0,0.000708,0,0.0
32,1.183,0,0.000227,1,0.0
3,1.358,0,0.000769,0,0.0
22,1.324,0,0.00104,0,0.0
20,1.34,0,0.000916,0,0.0
19,1.347,0,0.000855,0,0.0
21,1.333,0,0.000976,0,0.0
24,1.309,0,0.00115,0,0.0
18,1.355,0,0.000794,0,0.0
16,1.369,0,0.000671,0,0.0
